cell_id,class,model,A_raw_canonical,P_raw,A_close_canonical,P_close,pixel_area_raw,pixel_area_close,C_gt,C_raw,C_area_only,C_perimeter_only,C_full,AE_raw,AE_area_only,AE_perimeter_only,AE_full,benefit_area,benefit_perimeter,benefit_full,benefit_perimeter_minus_area,bias_raw,bias_area_only,bias_perimeter_only,bias_full,delta_C_area,delta_C_perimeter,delta_C_full,interaction_C,identity_residual,raw_fallback_rate,closing_fallback_rate,roundness_group
148495842-148495854-001,light_dysplastic,baseline,2553.4999999999995,225.3797231912613,2558.0,222.79393696784973,2657.0,2660.0,0.4895700500621144,0.6376448488904618,0.638758098869126,0.6525319818069137,0.6536712229002721,0.1480747988283474,0.14918804880701164,0.16296193174479934,0.16410117283815773,-0.0009600775913886084,-0.012032611449375508,-0.012825395940552542,-0.011254171418499825,0.1480747988283474,0.14918804880701164,0.16296193174479934,0.16410117283815773,0.0009600775913886084,0.012032611449375508,0.012825395940552542,1.4344460301352058e-05,0.0,0.0,0.0,over_circular
148497551-148497588-001,light_dysplastic,baseline,2636.0,198.16651952266693,2643.5,198.16651952266693,2725.0,2730.0,0.8205799088744168,0.8290275181966573,0.830950272394253,0.8490004356617243,0.8505586725047182,0.008447609322240535,0.010370363519836223,0.028420526787307554,0.029978763630301386,0.0,-0.011768643084876795,-0.014154513063374341,-0.014085718271877212,0.008447609322240535,0.010370363519836223,0.028420526787307554,0.029978763630301386,0.0019227541975956886,0.01997291746506702,0.021941994625473082,4.632296281037451e-05,0.0,0.0,0.0,over_circular
148497788-148497816-002,light_dysplastic,baseline,1782.4999999999998,185.9827550649643,1814.0,176.6101713180542,1889.0,1911.0,0.7463071823333276,0.6475809265281439,0.6590248531400018,0.7425634862669303,0.7556859265572015,0.09872625580518368,0.08728232919332579,0.0037436960663973506,0.009701893394850947,0.011182866016226423,0.08917615720945093,0.08934751158130982,0.07799329119322451,-0.09872625580518368,-0.08728232919332579,-0.0037436960663973506,0.009378744223873858,0.011182866016226423,0.08917615720945093,0.10202069075131937,0.0016616675256420077,0.0,0.0,0.0,under_circular
148503209-148503222-001,light_dysplastic,baseline,6031.0,413.4802289009094,6074.5,395.6639943122864,6231.0,6259.0,0.7514627594679846,0.4432917986087102,0.44648914452804017,0.48411231504535934,0.4876040884999229,0.30817096085927437,0.3049736149399444,0.26735044442262523,0.26385867096806165,0.0033703643714813047,0.04288302455634724,0.04655116309189672,0.03951266018486593,-0.30817096085927437,-0.3049736149399444,-0.26735044442262523,-0.26385867096806165,0.0033703643714813047,0.04288302455634724,0.04655116309189672,0.00029777416406817636,0.0,0.0,0.0,under_circular
148503209-148503231-001,light_dysplastic,baseline,5929.999999999999,358.6518018245697,5998.0,331.46298253536224,6095.0,6140.0,0.6544808862361308,0.5386987943730689,0.5445579940906485,0.6204396009305666,0.6271878609462185,0.11578209186306188,0.10992289214548223,0.03404128530556416,0.03744581058081797,0.005859199717579644,0.06682387014234586,0.07225746718400683,0.06221557590592408,-0.11578209186306188,-0.10992289214548223,-0.03404128530556416,-0.027293025289912287,0.005859199717579644,0.08174080655749771,0.08848906657314959,0.0008890602980722306,0.0,0.0,0.0,under_circular
148503400-148503432-001,light_dysplastic,baseline,5306.5,314.2670258283615,5367.999999999999,289.4213536977768,5429.0,5476.0,0.6770817444156346,0.6743705935849151,0.6815994816474864,0.7838273397106975,0.7922295448973597,0.0027111508307194887,0.005924603779755122,0.11899858252870399,0.11514780048172513,-0.001806586401132293,-0.1040344444643434,-0.11243664965100564,-0.10222785806321111,-0.0027111508307194887,0.004517737231851782,0.10674559529506289,0.11514780048172513,0.00722888806257127,0.10945674612578238,0.11785895131244462,0.0011733171240909668,0.0,0.0,0.0,under_circular
148503568-148503580-002,light_dysplastic,baseline,4358.5,283.86500465869904,4372.0,277.42135310173035,4445.0,4464.0,0.486783015904898,0.6679618717027584,0.6700308140609063,0.7014681581804053,0.7039810942639585,0.18117885579786047,0.18324779815600828,0.21468514227550733,0.21719807835906052,-0.002390588634934576,-0.03338558323012286,-0.036079685246632076,-0.03081240364217186,0.18117885579786047,0.18324779815600828,0.21468514227550733,0.21719807835906052,0.002390588634934576,0.03338558323012286,0.036079685246632076,0.00012092242855821222,0.0,0.0,0.0,over_circular
148718455-148718461-001,light_dysplastic,baseline,8184.499999999999,382.46803629398346,8249.0,353.5218585729599,8353.0,8406.0,0.8681455917412837,0.7206022058669193,0.7269701999095749,0.84426159589993,0.851722373523648,0.14754338587436444,0.1411753918317088,0.0238839958413537,0.016423218217635704,0.006185176089842259,0.11362760204146471,0.12086712278585765,0.10744242595162246,-0.14754338587436444,-0.1411753918317088,-0.0238839958413537,-0.016423218217635704,0.006185176089842259,0.11362760204146471,0.12086712278585765,0.0010543446545506763,0.0,0.0,0.0,under_circular
148719308-148719348-004,light_dysplastic,baseline,2403.0,191.33809351921082,2404.5,190.75230753421783,2486.0,2487.0,0.8277155804917434,0.8062627212674002,0.8067978513921351,0.8113193610839152,0.8118578473855196,0.021452859224343257,0.020917729099608318,0.016396219407828205,0.015857733106223848,0.0005148707716378098,0.004698066326231931,0.005164651400438536,0.004234189071233518,-0.021452859224343257,-0.020917729099608318,-0.016396219407828205,-0.015857733106223848,0.0005148707716378098,0.005056639816515052,0.0055917550509339,3.167114335123067e-06,0.0,0.0,0.0,under_circular
148719308-148719357-001,light_dysplastic,baseline,2664.0,210.85281217098236,2677.5,205.5807341337204,2758.0,2767.0,0.7947701206833819,0.7447240340569417,0.7497165974137481,0.7920986248453475,0.7961126381469287,0.05004608662644028,0.045053523269633855,0.002671495838034388,0.007030749448441065,0.0042397703052898805,0.042518293327180934,0.04301533717799921,0.03827852302189105,-0.05004608662644028,-0.045053523269633855,-0.002671495838034388,0.001342517463546744,0.0042397703052898805,0.042518293327180934,0.04700383411413078,0.0002457704816599682,0.0,0.0,0.0,under_circular
