cell_id,class,model,seed,A_raw_canonical,P_raw,A_close_canonical,P_close,pixel_area_raw,pixel_area_close,C_gt,C_raw,C_area_only,C_perimeter_only,C_full,AE_raw,AE_area_only,AE_perimeter_only,AE_full,benefit_area,benefit_perimeter,benefit_full,benefit_perimeter_minus_area,bias_raw,bias_area_only,bias_perimeter_only,bias_full,delta_C_area,delta_C_perimeter,delta_C_full,interaction_C,identity_residual,roundness_group,raw_fallback_rate,closing_fallback_rate
148495842-148495854-001,light_dysplastic,baseline,20260803,2553.4999999999995,242.69343149662018,2558.0,240.93607211112976,2657.0,2660.0,0.4895700500621144,0.5447906954690341,0.5457507730604227,0.5527669573009693,0.5537410913553474,0.05522064540691973,0.05618072299830834,0.06319690723885485,0.06417104129323303,-0.0009600775913886084,-0.007976261831935116,-0.0089503958863133,-0.007016184240546508,0.05522064540691973,0.05618072299830834,0.06319690723885485,0.06417104129323303,0.0009600775913886084,0.007976261831935116,0.0089503958863133,1.4056462989575635e-05,0.0,over_circular,0.0,0.0
148495842-148495854-001,light_dysplastic,baseline,20260804,2516.5,220.06601476669312,2519.5,218.06601464748383,2606.0,2609.0,0.4895700500621144,0.652981445899589,0.6537598859304646,0.6650140573489645,0.6658068418401415,0.16341139583747455,0.16418983586835023,0.17544400728685006,0.1762367917780271,-0.0007784400308756823,-0.012032611449375508,-0.012825395940552542,-0.011254171418499825,0.16341139583747455,0.16418983586835023,0.17544400728685006,0.1762367917780271,0.0007784400308756823,0.012032611449375508,0.012825395940552542,1.4344460301352058e-05,0.0,over_circular,0.0,0.0
148495842-148495854-001,light_dysplastic,baseline,20260805,2577.5,225.3797231912613,2582.0,222.79393696784973,2674.0,2677.0,0.4895700500621144,0.6376448488904618,0.638758098869126,0.6525319818069137,0.6536712229002721,0.1480747988283474,0.14918804880701164,0.16296193174479934,0.16410117283815773,-0.0011132499786642436,-0.01488713291645194,-0.01602637400981033,-0.013773882937787696,0.1480747988283474,0.14918804880701164,0.16296193174479934,0.16410117283815773,0.0011132499786642436,0.01488713291645194,0.01602637400981033,2.5991114694146056e-05,0.0,over_circular,0.0,0.0
148497551-148497588-001,light_dysplastic,baseline,20260803,2636.0,201.6812388896942,2643.5,198.75230658054352,2725.0,2730.0,0.8205799088744168,0.8143746923911043,0.8166917675781047,0.8385537684426061,0.8409396384211036,0.0062052164833125145,0.0038881412963120976,0.01797385956818931,0.020359729546686856,0.002317075187000417,-0.011768643084876795,-0.014154513063374341,-0.014085718271877212,-0.0062052164833125145,-0.0038881412963120976,0.01797385956818931,0.020359729546686856,0.002317075187000417,0.024179076051501824,0.02656494602999937,6.879479149712875e-05,0.0,under_circular,0.0,0.0
148497551-148497588-001,light_dysplastic,baseline,20260804,2587.0,198.02438497543335,2593.0,195.6812391281128,2675.0,2679.0,0.8205799088744168,0.8290275181966573,0.830950272394253,0.8490004356617243,0.8509695128221304,0.008447609322240535,0.010370363519836223,0.028420526787307554,0.030389603947713617,-0.0019227541975956886,-0.01997291746506702,-0.021941994625473082,-0.01805016326747133,0.008447609322240535,0.010370363519836223,0.028420526787307554,0.030389603947713617,0.0019227541975956886,0.01997291746506702,0.021941994625473082,4.632296281037451e-05,0.0,over_circular,0.0,0.0
148497551-148497588-001,light_dysplastic,baseline,20260805,2658.0,198.16651952266693,2658.0,198.16651952266693,2744.0,2744.0,0.8205799088744168,0.8505586725047182,0.8505586725047182,0.8505586725047182,0.8505586725047182,0.029978763630301386,0.029978763630301386,0.029978763630301386,0.029978763630301386,0.0,0.0,0.0,0.0,0.029978763630301386,0.029978763630301386,0.029978763630301386,0.029978763630301386,0.0,0.0,0.0,0.0,0.0,over_circular,0.0,0.0
148497788-148497816-002,light_dysplastic,baseline,20260803,1853.9999999999998,185.39696860313416,1876.5,176.6101713180542,2109.0,2127.0,0.7463071823333276,0.6778199330767907,0.6860459031384022,0.7469442187050589,0.7560090757281785,0.06848724925653693,0.06026127919492541,0.0006370363717312921,0.009701893394850947,0.00822597006161152,0.06785021288480564,0.058785355861685984,0.05962424282319412,-0.06848724925653693,-0.06026127919492541,0.0006370363717312921,0.009701893394850947,0.00822597006161152,0.06912428562826822,0.07818914265138788,0.000838886961508134,0.0,under_circular,0.0,0.0
148497788-148497816-002,light_dysplastic,baseline,20260804,1771.0,192.56854152679443,1804.0,179.6812388896942,1889.0,1911.0,0.7463071823333276,0.6001471428708227,0.6113300088870491,0.6893233000802736,0.7021678336221421,0.1461600394625049,0.13497717344627846,0.05698388225305395,0.04413934871118552,0.011182866016226423,0.08917615720945093,0.10202069075131937,0.07799329119322451,-0.1461600394625049,-0.13497717344627846,-0.05698388225305395,-0.04413934871118552,0.011182866016226423,0.08917615720945093,0.10202069075131937,0.0016616675256420077,0.0,under_circular,0.0,0.0
148497788-148497816-002,light_dysplastic,baseline,20260805,1782.4999999999998,185.9827550649643,1814.0,173.6812380552292,1868.0,1889.0,0.7463071823333276,0.6475809265281439,0.6590248531400018,0.7425634862669303,0.7556859265572015,0.09872625580518368,0.08728232919332579,0.0037436960663973506,0.009378744223873858,0.01144392661185789,0.09498255973878633,0.08934751158130982,0.08353863312692844,-0.09872625580518368,-0.08728232919332579,-0.0037436960663973506,0.009378744223873858,0.01144392661185789,0.09498255973878633,0.10810500002905754,0.0016785136784133181,0.0,under_circular,0.0,0.0
148503209-148503222-001,light_dysplastic,baseline,20260803,6031.0,413.4802289009094,6074.5,395.6639943122864,6272.0,6303.0,0.7514627594679846,0.4432917986087102,0.44648914452804017,0.48411231504535934,0.4876040884999229,0.30817096085927437,0.3049736149399444,0.26735044442262523,0.26385867096806165,0.0031973459193299636,0.040820516436649135,0.04431228989121272,0.03762317051731917,-0.30817096085927437,-0.3049736149399444,-0.26735044442262523,-0.26385867096806165,0.0031973459193299636,0.040820516436649135,0.04431228989121272,0.0002944275352336212,0.0,under_circular,0.0,0.0
