cell_id,seed,model,degradation,severity,target,point_prediction,interval_lower,interval_upper,true_value,covered,valid,failure_aware_covered,frozen_quantile,calibration_source
148495842-148495854-001,20260803,baseline,clean,clean,nc,0.3335006903476842,-0.5244711844676984,1.1914725651630669,0.502038819115968,True,True,True,0.8579718748153826,clean
148497551-148497588-001,20260803,baseline,clean,clean,nc,0.6411764705882353,-0.21679540422714727,1.499148345403618,0.5559098639455783,True,True,True,0.8579718748153826,clean
148497788-148497816-002,20260803,baseline,clean,clean,nc,0.10930292821974605,-0.7486689465956365,0.9672748030351287,0.14823734029032043,True,True,True,0.8579718748153826,clean
148503209-148503222-001,20260803,baseline,clean,clean,nc,0.4792176039119804,-0.3787542709034022,1.337189478727363,0.41237901171676006,True,True,True,0.8579718748153826,clean
148503209-148503231-001,20260803,baseline,clean,clean,nc,0.8668257238911181,0.008853849075735498,1.7247975987065007,0.5761983052991021,True,True,True,0.8579718748153826,clean
148503400-148503432-001,20260803,baseline,clean,clean,nc,0.43189346312445076,-0.42607841169093186,1.2898653379398333,0.4285305480040063,True,True,True,0.8579718748153826,clean
148503568-148503580-002,20260803,baseline,clean,clean,nc,0.5767097966728281,-0.28126207814255455,1.4346816714882107,0.48021166354315953,True,True,True,0.8579718748153826,clean
148718455-148718461-001,20260803,baseline,clean,clean,nc,0.43278590325962163,-0.425185971555761,1.2907577780750041,0.48004994299983716,True,True,True,0.8579718748153826,clean
148719308-148719348-004,20260803,baseline,clean,clean,nc,0.7161874334398296,-0.14178444137555302,1.5741593082552123,0.6565104166666667,True,True,True,0.8579718748153826,clean
148719308-148719357-001,20260803,baseline,clean,clean,nc,0.3692596063730084,-0.4887122684423742,1.227231481188391,0.39913544668587897,True,True,True,0.8579718748153826,clean
148848523-148848559-002,20260803,baseline,clean,clean,nc,1.505791505791506,0.6478196309761233,2.3637633806068887,1.2051656920077973,True,True,True,0.8579718748153826,clean
148881870-148882178-002,20260803,baseline,clean,clean,nc,0.9811320754716981,0.1231602006563155,1.8391039502870807,0.7195994277539342,True,True,True,0.8579718748153826,clean
148882307-148882323-001,20260803,baseline,clean,clean,nc,0.3188927033949104,-0.5390791714204722,1.176864578210293,0.39950047573739295,True,True,True,0.8579718748153826,clean
148882535-148882616-001,20260803,baseline,clean,clean,nc,0.377448005737298,-0.48052386907808464,1.2354198805526806,0.22541540390845438,True,True,True,0.8579718748153826,clean
148882671-148882687-001,20260803,baseline,clean,clean,nc,0.7239916911891986,-0.13398018362618402,1.5819635660045812,0.3966686614801516,True,True,True,0.8579718748153826,clean
149011613-149011656-001,20260803,baseline,clean,clean,nc,0.08586347324704649,-0.7721084015683362,0.9438353480624291,0.13897072650912054,True,True,True,0.8579718748153826,clean
149013033-149013072-001,20260803,baseline,clean,clean,nc,0.4258823529411765,-0.43208952187420613,1.2838542277565592,0.4589160839160839,True,True,True,0.8579718748153826,clean
149014929-149014984-001,20260803,baseline,clean,clean,nc,0.7471025774087529,-0.11086929740662976,1.6050744522241356,0.845088161209068,True,True,True,0.8579718748153826,clean
149014929-149015008-003,20260803,baseline,clean,clean,nc,0.9123711340206185,0.05439925920523592,1.7703430088360013,0.5970664365832614,True,True,True,0.8579718748153826,clean
149014929-149015022-001,20260803,baseline,clean,clean,nc,0.5790703496620212,-0.2789015251533614,1.4370422244774037,0.36083753392787904,True,True,True,0.8579718748153826,clean
149014929-149015022-002,20260803,baseline,clean,clean,nc,0.6506939519805491,-0.20727792283483348,1.5086658267959319,0.5167814584016618,True,True,True,0.8579718748153826,clean
149053341-149053350-001,20260803,baseline,clean,clean,nc,0.500698249006338,-0.35727362580904465,1.3586701238217205,0.473955416153243,True,True,True,0.8579718748153826,clean
149053945-149053969-001,20260803,baseline,clean,clean,nc,0.3067853170189099,-0.5511865577964727,1.1647571918342925,0.21760923018725176,True,True,True,0.8579718748153826,clean
149053945-149053976-001,20260803,baseline,clean,clean,nc,0.0017176392003435278,-0.8562542356150391,0.8596895140157261,0.17005184983041596,True,True,True,0.8579718748153826,clean
149054642-149054677-003,20260803,baseline,clean,clean,nc,0.29377637130801687,-0.5641955035073658,1.1517482461233994,0.42595204513399154,True,True,True,0.8579718748153826,clean
149056321-149056343-001,20260803,baseline,clean,clean,nc,0.4123095924248662,-0.4456622823905164,1.270281467240249,0.418983291859225,True,True,True,0.8579718748153826,clean
149056321-149056360-001,20260803,baseline,clean,clean,nc,1.0536385377519644,0.19566666293658175,1.911610412567347,0.5840683572216097,True,True,True,0.8579718748153826,clean
149056410-149056458-001,20260803,baseline,clean,clean,nc,0.9254385964912281,0.06746672167584544,1.7834104713066106,0.6353754940711462,True,True,True,0.8579718748153826,clean
149056873-149056884-001,20260803,baseline,clean,clean,nc,0.6692254012561061,-0.18874647355927654,1.5271972760714887,0.7479707792207793,True,True,True,0.8579718748153826,clean
149056873-149056884-002,20260803,baseline,clean,clean,nc,0.5919705038918476,-0.26600137092353504,1.44994237870723,1.0809555408095555,True,True,True,0.8579718748153826,clean
149056933-149056982-002,20260803,baseline,clean,clean,nc,0.3639810426540284,-0.4939908321613542,1.221952917469411,0.46669358094469116,True,True,True,0.8579718748153826,clean
149057756-149057766-002,20260803,baseline,clean,clean,nc,0.6462208617847892,-0.2117510130305934,1.5041927366001717,0.7389586566953577,True,True,True,0.8579718748153826,clean
149057756-149057788-002,20260803,baseline,clean,clean,nc,0.4945795260957101,-0.3633923487196725,1.3525514009110928,0.8340197693574959,True,True,True,0.8579718748153826,clean
149057812-149057825-003,20260803,baseline,clean,clean,nc,0.3276717445864706,-0.5303001302289121,1.1856436194018531,0.3543289394847214,True,True,True,0.8579718748153826,clean
149057812-149057825-005,20260803,baseline,clean,clean,nc,0.24800910125142206,-0.6099627735639606,1.1059809760668047,0.49932493249324933,True,True,True,0.8579718748153826,clean
149057812-149057847-004,20260803,baseline,clean,clean,nc,0.532399299474606,-0.32557257534077666,1.3903711742899887,0.4140258215962441,True,True,True,0.8579718748153826,clean
149057812-149057847-005,20260803,baseline,clean,clean,nc,0.4947117378681045,-0.3632601369472781,1.3526836126834871,0.47830288972649077,True,True,True,0.8579718748153826,clean
149058262-149058272-003,20260803,baseline,clean,clean,nc,0.3832507174536916,-0.474721157361691,1.2412225922690743,0.6153247330960854,True,True,True,0.8579718748153826,clean
149061666-149061699-003,20260803,baseline,clean,clean,nc,0.22016356662082942,-0.6378083081945531,1.078135441436212,0.28139494932142245,True,True,True,0.8579718748153826,clean
149095913-149095926-001,20260803,baseline,clean,clean,nc,0.20851539477695355,-0.649456480038429,1.0664872695923362,0.4079958995386981,True,True,True,0.8579718748153826,clean
149097324-149097373-001,20260803,baseline,clean,clean,nc,0.31640137328339574,-0.5415705015319869,1.1743732480987783,0.3640647226173542,True,True,True,0.8579718748153826,clean
149097594-149097637-001,20260803,baseline,clean,clean,nc,0.412771560236998,-0.4452003145783846,1.2707434350523807,0.40576635047428855,True,True,True,0.8579718748153826,clean
149097594-149097637-002,20260803,baseline,clean,clean,nc,0.645612892723425,-0.21235898209195758,1.5035847675388077,0.5948492462311558,True,True,True,0.8579718748153826,clean
149098972-149098988-002,20260803,baseline,clean,clean,nc,0.43392969240426865,-0.42404218241111397,1.2919015672196512,0.6989877464038359,True,True,True,0.8579718748153826,clean
149099096-149099104-001,20260803,baseline,clean,clean,nc,0.615851974592654,-0.24211990022272867,1.4738238494080367,0.5144719687092568,True,True,True,0.8579718748153826,clean
149099276-149099290-001,20260803,baseline,clean,clean,nc,0.18271299912329642,-0.6752588756920862,1.040684873938679,0.2444736173456424,True,True,True,0.8579718748153826,clean
149099276-149099290-002,20260803,baseline,clean,clean,nc,0.09814001848428835,-0.7598318563310943,0.956111893299671,0.11248504188272836,True,True,True,0.8579718748153826,clean
149099502-149099525-002,20260803,baseline,clean,clean,nc,0.12807674801302477,-0.7298951268023579,0.9860486228284073,0.15174822083720108,True,True,True,0.8579718748153826,clean
149100006-149100028-002,20260803,baseline,clean,clean,nc,0.17670405522001725,-0.6812678195953654,1.0346759300353998,0.6079681274900398,True,True,True,0.8579718748153826,clean
149100064-149100072-001,20260803,baseline,clean,clean,nc,0.47546749777382014,-0.3825043770415625,1.3334393725892029,0.2797275800357924,True,True,True,0.8579718748153826,clean
149101620-149101650-001,20260803,baseline,clean,clean,nc,0.37747212501017335,-0.48049974980520926,1.235443999825556,0.5865998747651847,True,True,True,0.8579718748153826,clean
149102442-149102451-001,20260803,baseline,clean,clean,nc,0.5466916940403567,-0.31128018077502595,1.4046635688557392,0.5586217897591322,True,True,True,0.8579718748153826,clean
149102510-149102519-001,20260803,baseline,clean,clean,nc,0.31314276459632356,-0.544829110219059,1.1711146394117062,0.45787116040955633,True,True,True,0.8579718748153826,clean
149105003-149105050-001,20260803,baseline,clean,clean,nc,0.3030472776159534,-0.5549245971994292,1.161019152431336,0.37398373983739835,True,True,True,0.8579718748153826,clean
149105289-149105300-001,20260803,baseline,clean,clean,nc,0.5314272211720227,-0.32654465364335994,1.3893990959874052,0.5558367605188231,True,True,True,0.8579718748153826,clean
149105289-149105300-002,20260803,baseline,clean,clean,nc,0.64,-0.2179718748153826,1.4979718748153825,0.6037076432153168,True,True,True,0.8579718748153826,clean
149105289-149105311-001,20260803,baseline,clean,clean,nc,0.4831081081081081,-0.3748637667072745,1.3410799829234907,0.714880814626244,True,True,True,0.8579718748153826,clean
149105289-149105311-003,20260803,baseline,clean,clean,nc,0.5790636929877436,-0.278908181827639,1.4370355678031261,1.2450271247739602,True,True,True,0.8579718748153826,clean
149105289-149105311-004,20260803,baseline,clean,clean,nc,0.4281362503461645,-0.42983562446921814,1.2861081251615472,1.010912265386294,True,True,True,0.8579718748153826,clean
149140081-149140096-002,20260803,baseline,clean,clean,nc,0.45137524557956776,-0.40659662923581485,1.3093471203949503,0.3996901626646011,True,True,True,0.8579718748153826,clean
149140849-149140856-001,20260803,baseline,clean,clean,nc,1.3318731117824774,0.47390123696709474,2.18984498659786,0.959688995215311,True,True,True,0.8579718748153826,clean
149143028-149143108-002,20260803,baseline,clean,clean,nc,0.5046451133407656,-0.35332676147461706,1.362616988156148,0.6956289978678039,True,True,True,0.8579718748153826,clean
149143469-149143497-003,20260803,baseline,clean,clean,nc,0.23293015996878658,-0.6250417148465961,1.0909020347841691,1.3522184300341298,False,True,False,0.8579718748153826,clean
149146837-149146854-001,20260803,baseline,clean,clean,nc,1.1455018802429853,0.28753000542760265,2.003473755058368,2.1697453819271093,False,True,False,0.8579718748153826,clean
149181904-149181927-001,20260803,baseline,clean,clean,nc,0.8495378927911276,-0.008433982024255049,1.7075097676065103,0.9385679414157851,True,True,True,0.8579718748153826,clean
149181904-149181951-001,20260803,baseline,clean,clean,nc,1.0718694885361553,0.21389761372077265,1.9298413633515379,1.3190928270042195,True,True,True,0.8579718748153826,clean
149182125-149182135-002,20260803,baseline,clean,clean,nc,1.1957186544342508,0.33774677961886823,2.0536905292496335,1.3812849162011174,True,True,True,0.8579718748153826,clean
149182657-149182667-001,20260803,baseline,clean,clean,nc,1.102102102102102,0.2441302272867194,1.9600739769174846,0.9995808885163453,True,True,True,0.8579718748153826,clean
149182657-149182681-002,20260803,baseline,clean,clean,nc,0.8223234624145785,-0.035648412400804075,1.6802953372299612,1.8449826989619378,False,True,False,0.8579718748153826,clean
149182657-149182698-003,20260803,baseline,clean,clean,nc,0.5021714653369792,-0.3558004094784034,1.3601433401523617,0.5308754086451144,True,True,True,0.8579718748153826,clean
149185604-149185616-001,20260803,baseline,clean,clean,nc,0.6804023989166184,-0.17756947589876426,1.538374273732001,1.3045078196872124,True,True,True,0.8579718748153826,clean
149185604-149185645-003,20260803,baseline,clean,clean,nc,2.128099173553719,1.2701272987383365,2.9860710483691015,3.3618470855412568,False,True,False,0.8579718748153826,clean
149185604-149185657-001,20260803,baseline,clean,clean,nc,1.526015228426396,0.6680433536110133,2.3839871032417785,2.554759467758444,False,True,False,0.8579718748153826,clean
